MSE_change_made;iteration;MSE;dMSE/dC;MSE_change;a_multiplier_used;a;C;log_iteration;log_MSE;log_dMSE/dC;log_MSE_change;log_a
True;0;5.546009210697421;1.4097909570770508,-4.570283638901113,28.158507990452453,-113.08595683690703,613.9283438585381,-2732.492987391109;140.23443050870543;1;1e-05;-0.9026975163360482,0.13509332830986628,-0.09131831838639572,0.3226379255932168,0.6548884851959378,0.9789549473773549;;0.7439805865097373;0.14915472051463896,0.6599431538963424,1.449609639508431,2.053408677012928,2.788117684361239,3.4365590560595254;2.1468546551723926;-5.0
True;0;5.546009210697421;0.3182228591672724,-0.6327198451421218,3.8215767231067215,-10.749862572888572,50.201668474634616,-169.73421524691105;4.6661434065864436;1;1e-05;-0.9027006985646399,0.1350996555083177,-0.09135653415362678,0.3227454242189457,0.6543864685111914,0.980652289529824;;0.7439805865097373;-0.4972686265322103,-0.19878854376030164,0.5822425830332277,1.031402912231377,1.7007181513538943,2.2297693967969434;0.6689580820214076;-5.0
True;0;5.546009210697421;0.49111097218964633,-1.3071936206200103,5.538184622196458,-18.256321938466417,70.74564023385068,-252.71477598543458;8.024855641627095;1;1e-05;-0.9027056096743618,0.1351127274445239,-0.09141191599984874,0.32292798743833034,0.6536790121088529,0.9831794372896783;;0.7439805865097373;-0.3088203629398952,0.1163399197450356,0.7433674293916228,1.2614132856448388,1.8496996812179278,2.4026306354352833;0.9044372286646151;-5.0
True;0;5.546009210697421;3.043423619361345,13.28011891116484,59.12890828864751,265.05174047733664,1196.1658065766842,5423.582467047589;562.2329816827914;1;1e-05;-0.9027360439105554,0.13497992625541225,-0.09200320508273521,0.320277470033557,0.641717354043086,0.9289436126192023;;0.7439805865097373;0.48336240676057557,1.1232019637542516,1.7717998605889396,2.4233306603912377,3.077791383574072,3.7342862481088277;2.749916318579679;-5.0
True;0;5.546009210697421;0.7919055381535455,1.5914951657290828,9.6584377859113,22.343339817494634,124.99507403256416,319.40117151073963;37.00874798771052;1;1e-05;-0.902743962965937,0.13496401130375496,-0.09209978946059433,0.32005403663538207,0.6404674033027604,0.925749600904095;;0.7439805865097373;-0.1013266198061403,0.20180532376106083,0.9849068866821079,1.3491480907087525,2.096892898107021,2.50433650472581;1.5683043930868454;-5.0
True;0;5.546009210697421;1.7013169892672704,-0.37363335219492966,30.70156151504813,-38.520506071187974,610.7979204642894,-1275.7778217592675;180.6416681120803;1;1e-05;-0.9027609761358296,0.1349677476372769,-0.09240680507574481,0.32043924169609395,0.6343594240981175,0.9385073791216877;;0.7439805865097373;0.23078523887052158,-0.42755436363114535,1.4871604647319945,1.5856919841243726,2.7858975497785856,3.1057750480642543;2.256817935035536;-5.0
True;0;5.546009210697421;1.6832095880303681,6.912904907484414,34.945324029390484,156.67591396986725,777.6927091628474,3666.712266011832;271.00114586130474;1;1e-05;-0.9027778082317099,0.13489861858820204,-0.09275625831603872,0.3188724825563953,0.626582497006489,0.9018402564615694;;0.7439805865097373;0.22613819634295435,0.8396605828568536,1.543389071810096,2.195002236838817,2.8908080274813095,3.56427683137152;2.4329711271850685;-5.0
True;0;5.546009210697421;1.4169737296080462,-1.8969065524059312,25.110185842974204,-51.709160960407466,486.56486767699766,-1276.5443277253735;150.13159915274244;1;1e-05;-0.902791977969006,0.1349175876537261,-0.09300736017446846,0.31938957416599933,0.6217168483297191,0.9146056997388231;;0.7439805865097373;0.15136179859465637,0.2780459367009572,1.3998499269813225,1.713567490910313,2.6871407475770326,3.106035900183961;2.1764721105866975;-5.0
True;0;5.546009210697421;1.5284438621347687,5.542452171811252,24.435660482567926,96.26066267022114,413.2508172063179,1680.3660665300795;121.37918908701863;1;1e-05;-0.9028072624076273,0.134862163132008,-0.09325171677929414,0.3184269675392971,0.6175843401576558,0.8978020390735223;;0.7439805865097373;0.18424949225228052,0.7437019540899853,1.388024082265684,1.9834488470881686,2.6162137210646432,3.2254039027710135;2.0841442317192076;-5.0
True;0;5.546009210697421;1.5184851129131687,-6.307468696689514,29.139047073480132,-132.21813018029297,619.7216347227154,-2914.5984466263394;200.95329129130593;1;1e-05;-0.9028224472587565,0.1349252378189749,-0.09354310725002894,0.31974914884110006,0.6113871238104287,0.9269480235397857;;0.7439805865097373;0.18141053849244315,0.7998551038366604,1.4644753450490644,2.121291011105668,2.792196657803196,3.4645787291028842;2.303095123630551;-5.0
True;0;5.546009210697421;0.9575082899406832,-2.5611534202647466,16.46814094288754,-62.43391031647871,328.21053711733714,-1425.0326333853632;83.59466002243367;1;1e-05;-0.9028320223416559,0.13495084935317753,-0.09370778865945782,0.32037348794426485,0.6081050184392554,0.9411983498736393;;0.7439805865097373;-0.018857457296771844,0.4084355947037685,1.2166445752586756,1.7954205362077102,2.5161525198567904,3.1538248098441164;1.9221785358497692;-5.0
True;0;5.546009210697421;0.9394039401524799,2.966096938242359,12.218965929821712,41.380691559357146,165.43693503324022,589.0479909739721;55.31774895131766;1;1e-05;-0.9028414163810574,0.1349211883837951,-0.09382997831875604,0.3199596810286713,0.606450649088923,0.9353078699638996;;0.7439805865097373;-0.027147622582734527,0.47218534057495953,1.0870344538627796,1.6167977443747386,2.2186324755332802,2.770150679109894;1.742864499023822;-5.0
True;0;5.546009210697421;0.8072058440702184,-0.8624461673274274,12.000871408515973,-15.798553670763177,177.0216279471537,-288.4024981172442;43.59560121700895;1;1e-05;-0.9028494884394981,0.13492981284546837,-0.0939499870328412,0.32011766656537893,0.6046804328094515,0.938191894945072;;0.7439805865097373;-0.09301570252156693,-0.06426800345733007,1.0792127822284323,1.1986173298937957,2.2480263303408066,2.4599990178845466;1.6394426712971504;-5.0
True;0;5.546009210697421;1.9327860053982249,1.5236666030268782,42.238943076738344,31.042256379367082,987.5595774603237,677.1248190143655;286.9536118597502;1;1e-05;-0.9028688162995521,0.1349145761794381,-0.09437237646360859,0.3198072440015853,0.5948048370348482,0.9314206467549284;;0.7439805865097373;0.2861837723837474,0.1828899484302615,1.6257130425351511,1.491953281448682,2.9945633051914404,2.830668732514664;2.4578116955436387;-5.0
True;0;5.546009210697421;1.6439493232952236,6.785117259822128,31.029288659837594,135.96170284649656,620.9025195954212,2810.795795974821;196.7580988699523;1;1e-05;-0.902885255792785,0.1348467250068399,-0.09468266935020697,0.3184476269731203,0.588595811838894,0.9033126887951802;;0.7439805865097373;0.21588842576336076,0.8315573575010843,1.4917718195851857,2.1334165952476343,2.793023422197679,3.4488292953040944;2.2939326176366435;-5.0
True;0;5.546009210697421;1.5677580363310466,1.4067178899563677,23.09793934353912,22.19579246928035,352.86363078295756,329.95064991490165;93.73557079836536;1;1e-05;-0.9029009333731484,0.13483265782794032,-0.09491364874364236,0.3182256690484275,0.5850671755310644,0.9000131822960312;;0.7439805865097373;0.1952790356475361,0.14820701064037525,1.3635732365307145,1.3462706555065307,2.5476068984726705,2.5184489881434438;1.9719044283470355;-5.0
True;0;5.546009210697421;0.9781525153190151,2.281726017826016,13.81327113581141,38.38193332835338,212.9481221046464,667.5506538747478;51.44631363890782;1;1e-05;-0.9029107148983015,0.13480984056776207,-0.09505178145500047,0.31784184971514395,0.5829376943100179,0.8933376757572837;;0.7439805865097373;-0.00959342394724209,0.358263494556378,1.140296536508245,1.5841268467071314,2.3282738145756015,2.824484225637566;1.711354261049132;-5.0
True;0;5.546009210697421;1.1969320768334986,-4.118366335169583,19.882981216455658,-77.56484044597879,361.6543588667424,-1521.9399973963389;110.01661641044049;1;1e-05;-0.9029226842190698,0.13485102423111378,-0.09525061126716503,0.3186174981196037,0.5793211507213504,0.9085570757312471;;0.7439805865097373;0.07806950588395462,0.614724975178197,1.2984815022336704,1.8896649034673145,2.558293703832044,3.1823975306780836;2.041458283979758;-5.0
True;0;5.546009210697421;2.1790808427366257,-7.5106045252843,40.08421295297609,-152.98739523154634,782.5144079999789,-3215.8954522305776;219.55413856441913;1;1e-05;-0.9029444750274972,0.13492613027636663,-0.09565145339669479,0.3201473720719192,0.5714960066413506,0.9407160302535529;;0.7439805865097373;0.33827334263870057,0.875674894584583,1.6029733607153664,2.1846556503804075,2.893492342713412,3.50730192152623;2.3415416279070436;-5.0
True;0;5.546009210697421;1.487340797988995,-2.2483765205472426,25.98812992529932,-68.82944322954482,506.3281872042044,-1773.3297403723686;114.16571150640084;1;1e-05;-0.9029593484354771,0.1349486140415721,-0.09591133469594777,0.32083566650421463,0.5664327247693085,0.9584493276572765;;0.7439805865097373;0.172410490867754,0.3518690413736073,1.414775029314645,1.8377742565025295,2.7044321051598956,3.2487894976479224;2.057535687626434;-5.0
True;0;2.271341796606445;0.21710199911895722,-0.39568607626609265,1.5323978821691122,-3.8483259723765872,12.89032001886884,-36.791481390046535;-3.274667414090976;1.0;1e-05;-0.9029615194554683,0.13495257090233476,-0.09592665867476946,0.3208741497639384,0.5663038215691198,0.958817242471177;;0.3562824927449362;-0.6633361774560614,-0.40264923178399925,0.18537154310032244,0.585271851829517,1.110263699409541,1.5657472748267864;0.5151671982026996;-5.0
True;0;2.271341796606445;0.8013855555870518,-1.9145029850667543,14.767124389236768,-59.822676944917006,333.5659538016254,-1572.1651981636887;56.26648430205141;1;1e-05;-0.9029695333110241,0.13497171593218543,-0.09607432991866183,0.32147237653338756,0.5629681620311036,0.9745388944528138;;0.3562824927449362;-0.0961584896864133,0.2820560478302245,1.1692959331268118,1.776865842937924,2.5231817169337885,3.1964981783964093;1.7502497799857124;-5.0
True;0;2.271341796606445;0.45592630392817945,0.6362652901409596,4.673552872593229,5.646218929793503,51.879842858581696,52.54242980479163;14.897182864874663;1;1e-05;-0.9029740925740635,0.13496535327928402,-0.09612106544738776,0.3214159143440896,0.5624493636025177,0.9740134701547659;;0.3562824927449362;-0.3411053511599155,-0.19636176796511434,0.6696471602910843,0.7517577137255083,1.7149986519580294,1.7205101526984887;1.173104148820707;-5.0
True;0;2.271341796606445;0.5012721294286905,-0.6942638151742933,5.269181330379539,-12.143212137507044,63.97672229711818,-186.63178730825896;8.683545586330029;1;1e-05;-0.9029791052953577,0.13497229591743576,-0.09617375726069155,0.32153734646546467,0.5618095963795465,0.9758797880278485;;0.3562824927449362;-0.299926441351062,-0.15847546945416707,0.7217431443743026,1.0843335820500124,1.8060219862210662,2.2709856151707153;0.9386970885602535;-5.0
True;0;2.271341796606445;0.5975550738940411,-2.2846711248079288,9.098595568343217,-36.889258399866186,151.54085745887005,-628.5647124868626;17.164666208344272;1;1e-05;-0.9029850808460966,0.13499514262868384,-0.09626474321637499,0.3219062390494633,0.5602941878049579,0.9821654351527171;;0.3562824927449362;-0.22362206161660134,0.35882369282571497,0.9589743611133643,1.5668999245116162,2.1805297402751767,2.7983499961495792;1.2346353623621946;-5.0
True;0;2.271341796606445;1.8063207810209454,4.763310080853475,27.63572060515605,71.29946104629569,448.56605367786995,1097.3884907951422;161.5066489107791;1;1e-05;-0.9030031440539068,0.1349475095278753,-0.09654110042242654,0.3211932444390003,0.5558085272681792,0.9711915502447658;;0.3562824927449362;0.2567948783453509,0.6779088540331676,1.4414707933528472,1.8530862470257166,2.6518264042041206,3.0403604010847993;2.208190406083983;-5.0
True;0;2.271341796606445;2.5223326515485383,8.702460595880085,47.62695902238504,181.26109210138907,1001.6750853047548,4116.135296254258;378.5367422716225;1;1e-05;-0.9030283673804222,0.1348604849219165,-0.0970173700126504,0.31938063351798646,0.5457917764151317,0.9300301972822232;;0.3562824927449362;0.4018023618584184,0.9396420655063878,1.6778528527280607,2.2583045922969887,3.0007268716883497,3.614489641467205;2.5781080402201604;-5.0
True;0;2.271341796606445;1.1596565245916262,1.816963138440132,13.889044998261268,15.17475548381793,174.6427339238232,101.32125605316804;48.98333705656033;1;1e-05;-0.9030399639456682,0.1348423152905321,-0.09715626046263301,0.3192288859631483,0.5440453490758934,0.9290169847216916;;0.3562824927449362;0.06432937581020354,0.2593461166671798,1.1426723849569063,1.1811217018636604,2.242150521365403,2.00570056498723;1.6900483686997252;-5.0
True;0;2.271341796606445;0.7686041598250825,2.7227254728685266,13.928983847279627,57.635514494025415,274.4880694997875,1207.8462635706933;77.13351962560074;1;1e-05;-0.9030476499872665,0.13481508803580342,-0.0972955503011058,0.31865253081820805,0.5413004683808955,0.9169385220859847;;0.3562824927449362;-0.11429726938482361,0.43500385447666173,1.1439194347573354,1.7606901743228252,2.438523472782433,3.0820116601693615;1.8872431488019377;-5.0
True;0;2.271341796606445;1.4547790562104843,-2.816373798113151,26.510639718736517,-59.76498152343347,507.8906669734022,-1319.7166117493978;129.25738456374566;1;1e-05;-0.9030621977778286,0.13484325177378453,-0.09756065669829317,0.3192501806334424,0.5362215617111615,0.9301356882034787;;0.3562824927449362;0.1627970400884137,0.44969029524435433,1.4234202076638798,1.776446789576626,2.705770232282836,3.120480683352351;2.1114553640187697;-5.0
True;0;2.271341796606445;0.4211345253816343,-0.2877953807223105,3.794162359375258,-5.209991392818316,38.67184025664852,-74.9176205749417;6.662598287530532;1;1e-05;-0.9030664091230824,0.13484612972759175,-0.09759859832188691,0.3193022805473706,0.5358348433085951,0.9308848644092281;;0.3562824927449362;-0.375579152861171,-0.5409161810141133,0.5791159112316295,0.7168370058226343,1.5873948391093098,1.874583975489332;0.8236436288514836;-5.0
True;0;2.271341796606445;0.6492350950776077,0.697811130801776,6.735189916792497,9.626836232884473,73.17275798996205,129.32932007403227;18.671152180174794;1;1e-05;-0.9030729014740332,0.13483915161628374,-0.09766595022105484,0.31920601218504174,0.5351031157286955,0.9295915712084878;;0.3562824927449362;-0.18759801197182338,-0.156262107391152,0.8283498463325191,0.9834835838688132,1.8643494245461487,2.1116969943533226;1.2711711187017607;-5.0
True;0;2.271341796606445;1.33222796426199,2.135058606463863,20.59235613877805,35.13526172508788,334.374269529707,610.5835947732269;90.4627829233665;1;1e-05;-0.9030862237536758,0.1348178010302191,-0.09787187378244262,0.31885465956779085,0.5317593730333985,0.9234857352607555;;0.3562824927449362;0.12457854551751439,0.32940980072616055,1.313706040621336,1.545743192976072,2.5242328506114675,2.785745131447781;1.956469943897089;-5.0
True;0;2.271341796606445;1.877531152450709,1.3264107817841824,34.10666919332864,26.406437437336418,649.9260623435931,608.5621014189488;164.70883654160818;1;1e-05;-0.9031049990652003,0.13480453692240124,-0.09821294047437591,0.3185905951934175,0.5252601124099625,0.917400114246566;;0.3562824927449362;0.2735871516550071,0.12267804340096959,1.5328393089239798,1.4217098133360397,2.8128639527311297,2.7843049029069435;2.2167168994630964;-5.0
True;0;2.271341796606445;1.4595929549149314,-0.7429438107097616,29.648627893589598,-33.7463017846301,651.6469400078887,-1059.5813739348919;159.6492321955072;1;1e-05;-0.9031195949947494,0.13481196636050835,-0.09850942675331181,0.3189280582112638,0.5187436430098836,0.9279959279859149;;0.3562824927449362;0.16423175846833424,-0.12904403095202874,1.4720045994867512,1.5282261859809438,2.814012360246916,3.0251343153590606;2.2031668342186754;-5.0
True;0;2.271341796606445;1.1391867160050597,2.9875870429870948,14.384356118709357,39.15609762094636,188.72090475360804,536.1844186459736;52.967092230692494;1;1e-05;-0.9031309868619094,0.13478209049007847,-0.0986532703144989,0.31853649723505434,0.5168564339623476,0.9226340837994552;;0.3562824927449362;0.05659491203774514,0.47532056725771565,1.1578904265078875,1.5927994025861758,2.2758200099491668,2.7293141893663773;1.7240061318401207;-5.0
True;0;2.271341796606445;1.2881502120842245,5.416445397262893,23.557425243208392,104.13509209565825,466.3831357400446,2106.9202625094854;122.73044554476992;1;1e-05;-0.9031438683640303,0.13472792603610584,-0.09888884456693098,0.31749514631409775,0.5121926026049471,0.9015648811743604;;0.3562824927449362;0.10996650935572054,0.7337143694178998,1.3721278216085813,2.017597105450285,2.668742838090031,3.3236480998191067;2.088952310827535;-5.0
True;0;2.271341796606445;0.8135637855552783,2.227751514225902,12.380929231171534,43.14607142303696,213.80468326103582,832.681868280799;45.18764377027114;1;1e-05;-0.9031520040018858,0.1347056485209636,-0.0990126538592427,0.31706368559986736,0.5100545557723368,0.8932380624915524;;0.3562824927449362;-0.0896083915547681,0.34786674753453184,1.0927532411966638,1.6349412580588798,2.3300172139323907,2.9204791079616124;1.6550196964042734;-5.0
True;0;2.271341796606445;0.9173120963942627,-3.702713813656451,19.43334657234055,-88.86500001216791,439.38794876229895,-2085.453526846276;129.23269211657046;1;1e-05;-0.9031611771228497,0.13474267565910014,-0.0992069873249661,0.31795233559998903,0.5056606762847138,0.9140925977600152;;0.3562824927449362;-0.037482879508165264,0.5685201463046707,1.2885475959034591,1.948730745283464,2.642848141210328,3.319200516282497;2.1113723914441684;-5.0
True;0;2.271341796606445;2.1169888018669143,-8.897408997513706,41.34510857158375,-185.2362978302286,861.5667403996666,-3976.8386395729526;206.19147543719149;1;1e-05;-0.9031823470108684,0.13483164974907527,-0.09962043841068194,0.3198046985782913,0.4970450088807171,0.9538609841557447;;0.3562824927449362;0.32571856075901084,0.9492635547450321,1.6164241367174372,2.267726092512042,2.935288925271708,3.5995379698231056;2.314270706305807;-5.0
True;0;2.271341796606445;1.4332694901377767,4.076442517786348,26.523851598239617,91.97466103058453,535.1117995150234,2096.5735031988074;163.02839992280934;1;1e-05;-0.9031966797057698,0.1347908853238974,-0.09988567692666434,0.31888495196798544,0.49169389088556686,0.9328952491237567;;0.3562824927449362;0.15632785618663006,0.6102813226850201,1.4236365893558687,1.9636681959289004,2.7284445275165172,3.3215100928183205;2.2122632660935326;-5.0
True;0;2.271341796606445;0.22171762380762933,0.470144177936381,1.8547684507022475,4.997756853806545,17.949300312745592,52.36062554758638;3.4270478465405154;1;1e-05;-0.9031988968820078,0.13478618388211805,-0.09990422461117136,0.31883497439944736,0.4915143978824394,0.9323716428682808;;0.3562824927449362;-0.654199784475952,-0.3277689376385299,0.2682897000108852,0.698775123415326,1.2540475238761095,1.7190048263860158;0.5349201678507796;-5.0
